"id","prompt","image_path","tokens_used","cost_usd","created_at"
1,"
            Imagina que eres un analista de marketing en Colombia especializado en droguerías y establecimientos similares. Se te ha enviado un anuncio y debes extraer la siguiente información:
            - Categoría/marca de productos ofrecidos (si es más de 1, agrúpalos bajo la categoría que corresponda).
            - Fechas de la oferta.
            - Porcentaje de descuento ofrecido (si hay más de un porcentaje, escoge el menor).
            - Si no es un anuncio de descuento, responde con: ""Null | NaN | Inicio: Null. Fin: Null"".

            El formato de respuesta deberá ser el siguiente:
            [Categoría de productos] | [Porcentaje de descuento] | Inicio: [Fecha de inicio]. Fin: [Fecha de fin].

            Ejemplo:
            Medicamentos para la gripe | 20% | Inicio: 17/10/2024. Fin: 24/10/2024.
        ","src/img\Cruz Verde\01.png",1357,"0.0814","2024-11-05 11:36:25.569578"
2,"
            Imagina que eres un analista de marketing en Colombia especializado en droguerías y establecimientos similares. Se te ha enviado un anuncio y debes extraer la siguiente información:
            - Categoría/marca de productos ofrecidos (si es más de 1, agrúpalos bajo la categoría que corresponda).
            - Fechas de la oferta.
            - Porcentaje de descuento ofrecido (si hay más de un porcentaje, escoge el menor).
            - Si no es un anuncio de descuento, responde con: ""Null | NaN | Inicio: Null. Fin: Null"".

            El formato de respuesta deberá ser el siguiente:
            [Categoría de productos] | [Porcentaje de descuento] | Inicio: [Fecha de inicio]. Fin: [Fecha de fin].

            Ejemplo:
            Medicamentos para la gripe | 20% | Inicio: 17/10/2024. Fin: 24/10/2024.
        ","src/img\Cruz Verde\02.png",1358,"0.0815","2024-11-05 11:36:36.220841"
3,"
            Imagina que eres un analista de marketing en Colombia especializado en droguerías y establecimientos similares. Se te ha enviado un anuncio y debes extraer la siguiente información:
            - Categoría/marca de productos ofrecidos (si es más de 1, agrúpalos bajo la categoría que corresponda).
            - Fechas de la oferta.
            - Porcentaje de descuento ofrecido (si hay más de un porcentaje, escoge el menor).
            - Si no es un anuncio de descuento, responde con: ""Null | NaN | Inicio: Null. Fin: Null"".

            El formato de respuesta deberá ser el siguiente:
            [Categoría de productos] | [Porcentaje de descuento] | Inicio: [Fecha de inicio]. Fin: [Fecha de fin].

            Ejemplo:
            Medicamentos para la gripe | 20% | Inicio: 17/10/2024. Fin: 24/10/2024.
        ","src/img\Cruz Verde\03.png",1358,"0.0815","2024-11-05 11:36:44.296769"
4,"
            Imagina que eres un analista de marketing en Colombia especializado en droguerías y establecimientos similares. Se te ha enviado un anuncio y debes extraer la siguiente información:
            - Categoría/marca de productos ofrecidos (si es más de 1, agrúpalos bajo la categoría que corresponda).
            - Fechas de la oferta.
            - Porcentaje de descuento ofrecido (si hay más de un porcentaje, escoge el menor).
            - Si no es un anuncio de descuento, responde con: ""Null | NaN | Inicio: Null. Fin: Null"".

            El formato de respuesta deberá ser el siguiente:
            [Categoría de productos] | [Porcentaje de descuento] | Inicio: [Fecha de inicio]. Fin: [Fecha de fin].

            Ejemplo:
            Medicamentos para la gripe | 20% | Inicio: 17/10/2024. Fin: 24/10/2024.
        ","src/img\Cruz Verde\04.png",1343,"0.0806","2024-11-05 11:36:51.549862"
5,"
            Imagina que eres un analista de marketing en Colombia especializado en droguerías y establecimientos similares. Se te ha enviado un anuncio y debes extraer la siguiente información:
            - Categoría/marca de productos ofrecidos (si es más de 1, agrúpalos bajo la categoría que corresponda).
            - Fechas de la oferta.
            - Porcentaje de descuento ofrecido (si hay más de un porcentaje, escoge el menor).
            - Si no es un anuncio de descuento, responde con: ""Null | NaN | Inicio: Null. Fin: Null"".

            El formato de respuesta deberá ser el siguiente:
            [Categoría de productos] | [Porcentaje de descuento] | Inicio: [Fecha de inicio]. Fin: [Fecha de fin].

            Ejemplo:
            Medicamentos para la gripe | 20% | Inicio: 17/10/2024. Fin: 24/10/2024.
        ","src/img\Cruz Verde\05.png",1356,"0.0814","2024-11-05 11:36:58.737685"
6,"
            Imagina que eres un analista de marketing en Colombia especializado en droguerías y establecimientos similares. Se te ha enviado un anuncio y debes extraer la siguiente información:
            - Categoría/marca de productos ofrecidos (si es más de 1, agrúpalos bajo la categoría que corresponda).
            - Fechas de la oferta.
            - Porcentaje de descuento ofrecido (si hay más de un porcentaje, escoge el menor).
            - Si no es un anuncio de descuento, responde con: ""Null | NaN | Inicio: Null. Fin: Null"".

            El formato de respuesta deberá ser el siguiente:
            [Categoría de productos] | [Porcentaje de descuento] | Inicio: [Fecha de inicio]. Fin: [Fecha de fin].

            Ejemplo:
            Medicamentos para la gripe | 20% | Inicio: 17/10/2024. Fin: 24/10/2024.
        ","src/img\Cruz Verde\06.png",1356,"0.0814","2024-11-05 11:37:07.646168"
7,"
            Imagina que eres un analista de marketing en Colombia especializado en droguerías y establecimientos similares. Se te ha enviado un anuncio y debes extraer la siguiente información:
            - Categoría/marca de productos ofrecidos (si es más de 1, agrúpalos bajo la categoría que corresponda).
            - Fechas de la oferta.
            - Porcentaje de descuento ofrecido (si hay más de un porcentaje, escoge el menor).
            - Si no es un anuncio de descuento, responde con: ""Null | NaN | Inicio: Null. Fin: Null"".

            El formato de respuesta deberá ser el siguiente:
            [Categoría de productos] | [Porcentaje de descuento] | Inicio: [Fecha de inicio]. Fin: [Fecha de fin].

            Ejemplo:
            Medicamentos para la gripe | 20% | Inicio: 17/10/2024. Fin: 24/10/2024.
        ","src/img\Cruz Verde\07.png",1357,"0.0814","2024-11-05 11:37:16.724192"
8,"
            Imagina que eres un analista de marketing en Colombia especializado en droguerías y establecimientos similares. Se te ha enviado un anuncio y debes extraer la siguiente información:
            - Categoría/marca de productos ofrecidos (si es más de 1, agrúpalos bajo la categoría que corresponda).
            - Fechas de la oferta.
            - Porcentaje de descuento ofrecido (si hay más de un porcentaje, escoge el menor).
            - Si no es un anuncio de descuento, responde con: ""Null | NaN | Inicio: Null. Fin: Null"".

            El formato de respuesta deberá ser el siguiente:
            [Categoría de productos] | [Porcentaje de descuento] | Inicio: [Fecha de inicio]. Fin: [Fecha de fin].

            Ejemplo:
            Medicamentos para la gripe | 20% | Inicio: 17/10/2024. Fin: 24/10/2024.
        ","src/img\Cruz Verde\08.png",1358,"0.0815","2024-11-05 11:37:25.366523"
9,"
            Imagina que eres un analista de marketing en Colombia especializado en droguerías y establecimientos similares. Se te ha enviado un anuncio y debes extraer la siguiente información:
            - Categoría/marca de productos ofrecidos (si es más de 1, agrúpalos bajo la categoría que corresponda).
            - Fechas de la oferta.
            - Porcentaje de descuento ofrecido (si hay más de un porcentaje, escoge el menor).
            - Si no es un anuncio de descuento, responde con: ""Null | NaN | Inicio: Null. Fin: Null"".

            El formato de respuesta deberá ser el siguiente:
            [Categoría de productos] | [Porcentaje de descuento] | Inicio: [Fecha de inicio]. Fin: [Fecha de fin].

            Ejemplo:
            Medicamentos para la gripe | 20% | Inicio: 17/10/2024. Fin: 24/10/2024.
        ","src/img\Cruz Verde\09.png",1358,"0.0815","2024-11-05 11:37:33.857174"
10,"
            Imagina que eres un analista de marketing en Colombia especializado en droguerías y establecimientos similares. Se te ha enviado un anuncio y debes extraer la siguiente información:
            - Categoría/marca de productos ofrecidos (si es más de 1, agrúpalos bajo la categoría que corresponda).
            - Fechas de la oferta.
            - Porcentaje de descuento ofrecido (si hay más de un porcentaje, escoge el menor).
            - Si no es un anuncio de descuento, responde con: ""Null | NaN | Inicio: Null. Fin: Null"".

            El formato de respuesta deberá ser el siguiente:
            [Categoría de productos] | [Porcentaje de descuento] | Inicio: [Fecha de inicio]. Fin: [Fecha de fin].

            Ejemplo:
            Medicamentos para la gripe | 20% | Inicio: 17/10/2024. Fin: 24/10/2024.
        ","src/img\Cruz Verde\10.png",1358,"0.0815","2024-11-05 11:37:43.758648"
